Repository Name,Total Closed Issues,Issue Number,Issue Title,Issue Status,Assignees,Labels,Created At,Issue Closed At
ChicoState/BlxMusicMaker,0,4,"As a user, I would like a simple looking interface, so I don't become easily overwhelmed by all the controls.",Done,None,18-09-2020 17:38,15-11-2020 22:25,None
ChicoState/BlxMusicMaker,0,3,"As a user, I would like to have to option to hear a metronome, so that I can record in the time of my other recordings.",Done,None,18-09-2020 17:38,15-11-2020 22:25,Medium
ChicoState/BlxMusicMaker,0,2,"As a user, I would like to change the pan, and volume of the instrument.",Done,"KyleRhoads45,jjohhns7",18-09-2020 17:38,23-11-2020 15:45,Easy
ChicoState/BlxMusicMaker,0,1,"As a user, I would like to be able to use my midi keyboard to play notes.",Done,blexc,18-09-2020 17:36,06-10-2020 12:43,Medium
ChicoState/BlxMusicMaker,0,39,"As a user, I would like 'internal' built-in presets.",To do,KyleRhoads45,18-11-2020 12:47,None,Medium
ChicoState/BlxMusicMaker,0,43,"As a user, I would like the wave buttons to have pictures of the waves instead of the names.",In progress,KyleRhoads45,01-12-2020 13:31,None,Easy
ChicoState/BlxMusicMaker,0,35,"As a user, I would like a low-pass and high-pass filter built-in.",To do,None,03-11-2020 10:47,None,Easy
ChicoState/BlxMusicMaker,0,2,"As a user, I would like to change the pan, and volume of the instrument.",In progress,"KyleRhoads45,jjohhns7",18-09-2020 17:38,None,Easy
ChicoState/BlxMusicMaker,0,39,"As a user, I would like 'internal' built-in presets.",In progress,KyleRhoads45,18-11-2020 12:47,None,Medium
ChicoState/BlxMusicMaker,0,39,"As a user, I would like 'internal' built-in presets.",To do,KyleRhoads45,18-11-2020 12:47,None,Medium
ChicoState/BlxMusicMaker,0,28,"As a user, I would like noise to have different sounds depending on the note I play.",In progress,blexc,19-10-2020 12:25,None,Hard
ChicoState/Booked,0,22,"As a user, I want to be able to modify my tasks including removing them.",Done,toferwon,None,02-11-2020 12:05,06-12-2020 16:34
ChicoState/Booked,0,21,"As a user, I want to be able to easily navigate a website",Done,None,None,26-10-2020 12:14,05-11-2020 17:27
ChicoState/Booked,0,20,As a student I want a tool to organize a sub-project with one team member in the group so we are clear about how we are sharing the work.,Done,toferwon,None,19-10-2020 12:47,07-12-2020 12:25
ChicoState/Booked,0,19,As a student I want a way to evenly distribute group projects so I don’t end up doing everything.,Done,toferwon,None,19-10-2020 12:46,07-12-2020 12:25
ChicoState/Booked,0,18,As an employer I want to keep track of my employees so i know what they get done today.,Done,toferwon,None,19-10-2020 12:46,07-12-2020 12:25
ChicoState/Booked,0,17,As a forgetful student I want something that can remind me of due dates so I can turn in assignments on time.,Done,toferwon,None,19-10-2020 12:45,07-12-2020 12:25
ChicoState/Booked,0,16,As a student often overwhelmed by notifications I want to receive notifications in an enjoyable way so I will be encouraged to actually read them.,Done,toferwon,None,19-10-2020 12:45,07-12-2020 12:25
ChicoState/Booked,0,15,As a user I want to create my own date types like estimated start or project completion date.,Done,toferwon,None,19-10-2020 12:38,06-12-2020 16:34
ChicoState/Booked,0,13,As an internet user I want to access the application from a web browser.,Done,toferwon,None,19-10-2020 12:37,25-10-2020 11:47
ChicoState/Booked,0,10,Setup Collaborative Tool Travis CI,Done,toferwon,None,07-10-2020 11:23,31-10-2020 07:07
ChicoState/Booked,0,9,Setup Google Cloud Platform for Web Hosting,Done,toferwon,None,07-10-2020 11:22,31-10-2020 07:01
ChicoState/Booked,0,8,As a user I want to see when my task creation dates on a calendar.,Done,toferwon,None,07-10-2020 11:19,16-10-2020 16:39
ChicoState/Booked,0,7,"as a returning user, I want to see the results from my last site use present on every use",Done,danielv1777,None,30-09-2020 12:52,14-10-2020 10:38
ChicoState/Booked,0,4,"As a team member, I want to know when another person finishes their task so I can plan around what is left to do",Done,toferwon,None,23-09-2020 12:25,07-12-2020 12:25
ChicoState/Booked,0,3,As a teacher who frequently leads group projects I want to monitor my students progress so I can evaluate which students are participating in group work.,Done,toferwon,None,23-09-2020 12:25,07-12-2020 12:25
ChicoState/Booked,0,2,As a student I want to become more motivated and excited to participate in group projects so I can enjoy the process instead of dreading it.,Done,toferwon,None,23-09-2020 12:25,07-12-2020 12:25
ChicoState/Booked,0,1,As a group leader of a class project I want to be able to remind my group members in as little time as possible,Done,toferwon,None,23-09-2020 12:24,07-12-2020 12:25
ChicoState/GroceryPals,0,6,customer creates a list is able to retrieve the list for future use.,In progress,None,None,08-11-2020 17:15,None
ChicoState/GroceryPals,0,6,customer creates a list is able to retrieve the list for future use.,To do,None,None,08-11-2020 17:15,None
ChicoState/GroceryPals,0,5,A Chico state student is looking for the best deal on beer.,In progress,None,None,08-11-2020 16:11,None
ChicoState/GroceryPals,0,1,"A family is looking for soda for a birthday party, and wants to check and see if the store has the soda in stock.",To do,None,None,28-09-2020 15:10,None
ChicoState/GroceryPals,0,1,"A family is looking for soda for a birthday party, and wants to check and see if the store has the soda in stock.",In progress,None,None,28-09-2020 15:10,None
ChicoState/GroceryPals,0,3,A shopper wants to create a list of items they need from the grocery store,In progress,mnguyen1996,None,05-10-2020 15:06,None
ChicoState/GroceryPals,0,4,A students wants to see the closest stores from their location,In progress,Mscheer75,None,05-10-2020 15:06,None
ChicoState/GroceryPals,0,4,A students wants to see the closest stores from their location,To do,Mscheer75,None,05-10-2020 15:06,None
ChicoState/GroceryPals,0,3,A shopper wants to create a list of items they need from the grocery store,To do,mnguyen1996,None,05-10-2020 15:06,None
ChicoState/GroceryPals,0,1,"A family is looking for soda for a birthday party, and wants to check and see if the store has the soda in stock.",To do,None,None,28-09-2020 15:10,None
ChicoState/Gruvest,0,32,Pitcher Advice,Done,blueweaver,None,05-11-2020 14:47,07-12-2020 14:06
ChicoState/Gruvest,0,31,Subscriptions,Done,"blueweaver,jhowell1",None,05-11-2020 14:42,11-12-2020 13:38
ChicoState/Gruvest,0,28,Subscription Button,Done,blueweaver,None,20-10-2020 21:03,07-12-2020 14:05
ChicoState/Gruvest,0,27,Create Login and Registration Pages,Done,blueweaver,None,20-10-2020 21:01,02-11-2020 12:04
ChicoState/Gruvest,0,20,Funds view/Subscription display,Done,blueweaver,None,13-10-2020 10:15,07-12-2020 14:05
ChicoState/Gruvest,0,19,Pitches Detail View,Done,jhowell1,None,13-10-2020 10:04,14-10-2020 12:18
ChicoState/Gruvest,0,15,UI Design,Done,"blueweaver,0hana,jhowell1",None,05-10-2020 14:57,17-10-2020 22:37
ChicoState/Gruvest,0,14,Pitches Page,Done,"blueweaver,jhowell1",None,05-10-2020 14:52,12-10-2020 15:28
ChicoState/Gruvest,0,5,user page,Done,0hana,None,20-09-2020 20:09,11-12-2020 13:38
ChicoState/Gruvest,0,4,Add comment system,Done,"blueweaver,jhowell1",None,20-09-2020 20:09,05-10-2020 12:13
ChicoState/Gruvest,0,3,Add an upvote and downvote system,Done,"blueweaver,jhowell1",None,20-09-2020 20:05,05-10-2020 12:10
ChicoState/Gruvest,0,1,Discussion with other users ,Done,blueweaver,None,20-09-2020 19:59,30-09-2020 12:46
ChicoState/HappyHouseplants,0,152,Profile page: Create a profile page to see user's info and logout,Done,maklh899,Lowest Difficulty,08-12-2020 23:23,09-12-2020 16:27
ChicoState/HappyHouseplants,0,149,Profile page: Create buttons to change name and profile,Done,maklh899,None,08-12-2020 00:32,09-12-2020 16:27
ChicoState/HappyHouseplants,0,148,make the login and reg screens beautiful,Done,Neodusk,None,07-12-2020 21:58,08-12-2020 20:11
ChicoState/HappyHouseplants,0,144,"As a user, I would like to take multiple pictures of the same plant and easily access those photos in one place so I can see the growing progress of the plant.",Done,Cessna210,None,07-12-2020 15:34,07-12-2020 15:34
ChicoState/HappyHouseplants,0,142,Expand Search Bar and Card Items of Search screen,Done,myothra7777,Lowest Difficulty,07-12-2020 15:28,09-12-2020 15:13
ChicoState/HappyHouseplants,0,134,Remove navigation and tip/recommendation from splash screen,Done,"Cessna210,maklh899",Lowest Difficulty,02-12-2020 15:35,07-12-2020 15:16
ChicoState/HappyHouseplants,0,126,add plant nickname to user plants,Done,Cessna210,Lowest Difficulty,21-11-2020 10:05,07-12-2020 12:06
ChicoState/HappyHouseplants,0,123,As a user I would like a page where I could go to my profile and change different settings,Done,"Cessna210,maklh899",None,16-11-2020 16:58,09-12-2020 16:28
ChicoState/HappyHouseplants,0,120,Make a consistent API,Done,Cessna210,None,16-11-2020 15:30,02-12-2020 00:15
ChicoState/HappyHouseplants,0,119,Add picture taking functionality to camera view,Done,myothra7777,Lowest Difficulty,16-11-2020 15:27,28-11-2020 17:10
ChicoState/HappyHouseplants,0,118,Save user plant images within user data in database,Done,myothra7777,None,16-11-2020 15:26,02-12-2020 18:49
ChicoState/HappyHouseplants,0,116,fix calendar notes so they only show for the current month,Done,Neodusk,None,16-11-2020 15:25,07-12-2020 15:30
ChicoState/HappyHouseplants,0,114,"calendar: add getMyLabels for custom label select, and update labels",Done,"Neodusk,Cessna210",None,16-11-2020 15:25,09-12-2020 15:12
ChicoState/HappyHouseplants,0,110,update tips page for a cohesive design,Done,maklh899,Lowest Difficulty,16-11-2020 15:24,07-12-2020 12:06
ChicoState/HappyHouseplants,0,109,create a saved collection page of plants a user is interested in and of plants that they own,Done,Cessna210,None,16-11-2020 15:22,07-12-2020 15:16
ChicoState/HappyHouseplants,0,93,Explore page: toggle plants owned,Done,maklh899,None,02-11-2020 15:45,07-12-2020 15:43
ChicoState/HappyHouseplants,0,92,As I user I would like to sort my collection of plants by rooms,Done,Cessna210,None,02-11-2020 15:34,02-12-2020 15:53
ChicoState/HappyHouseplants,0,91,As a user I would like to say what rooms my plants are in,Done,"Cessna210,maklh899",None,02-11-2020 15:33,07-12-2020 15:42
ChicoState/HappyHouseplants,0,90,Create errors when network fails and inputs are blank,Done,myothra7777,Lowest Difficulty,02-11-2020 15:30,03-11-2020 20:37
ChicoState/HappyHouseplants,0,78,As a user I would like a cohesive interface that is easily to navigate and use,Done,maklh899,None,22-10-2020 01:19,07-12-2020 15:42
ChicoState/HappyHouseplants,0,77,Center Image in the card component,Done,"Neodusk,maklh899",Lowest Difficulty,22-10-2020 01:03,07-12-2020 15:42
ChicoState/HappyHouseplants,0,74,"Create a navigation bar for the main pages, resolves #78",Done,"maklh899,iramosromero",Lowest Difficulty,19-10-2020 15:20,07-12-2020 15:42
ChicoState/HappyHouseplants,0,73,Beautify our UI,Done,maklh899,None,19-10-2020 15:19,07-12-2020 15:43
ChicoState/HappyHouseplants,0,72,Add features to profile plant and landing page,Done,maklh899,Lowest Difficulty,19-10-2020 15:18,07-12-2020 15:43
ChicoState/HappyHouseplants,0,71,As a user I would like to like and save plants that seem interesting (2),Done,"Cessna210,maklh899",None,19-10-2020 15:17,07-12-2020 15:16
ChicoState/HappyHouseplants,0,70,"As a plant-owner, I would like to log each plant type I have and how many of them so that I can easily keep track of any knowledge that is updated for that plant. (3)",Done,Cessna210,None,19-10-2020 15:17,09-12-2020 15:12
ChicoState/HappyHouseplants,0,68,"As a concerned plant owner, I would like to know common bugs and pests that target my types of plants",Done,Cessna210,Lowest Difficulty,19-10-2020 15:16,07-12-2020 15:43
ChicoState/HappyHouseplants,0,67,"As a beginner plant owner, I would like a way to search based off watering, soil, sun, how much attention a plant needs, etc",Done,iramosromero,None,19-10-2020 15:14,07-12-2020 15:42
ChicoState/HappyHouseplants,0,63,"MongoDB: ensure that when a document is added for a plant, user, etc that it does not make a new one if that one already exists and instead updates the existing one",Done,Cessna210,None,17-10-2020 12:22,07-12-2020 15:42
ChicoState/HappyHouseplants,0,49,Create search page,Done,iramosromero,None,05-10-2020 15:44,18-10-2020 11:19
ChicoState/HappyHouseplants,0,47,Hook tips into database and retrieve tips randomly per day,Done,Cessna210,None,05-10-2020 15:30,07-12-2020 15:42
ChicoState/HappyHouseplants,0,46,"As an enthusiast, I would like an option to take a photo of each of my plants to improve personalization and help me remember where each of my plants are throughout the house",Done,myothra7777,None,05-10-2020 15:30,07-12-2020 15:42
ChicoState/HappyHouseplants,0,45,Create a navigation bar to go from page to different main pages,Done,None,None,05-10-2020 15:30,07-12-2020 15:45
ChicoState/HappyHouseplants,0,44,"As a plant owner that has little space outside, I would like to know which plants are best indoors and which are best outdoors ",Done,Neodusk,None,05-10-2020 15:27,07-12-2020 15:43
ChicoState/HappyHouseplants,0,43,Create a database schema for plants,Done,"Neodusk,Cessna210",Lowest Difficulty,05-10-2020 15:25,07-12-2020 15:43
ChicoState/HappyHouseplants,0,42,"As a developer, I would like to have an API to fetch data from.",Done,"Neodusk,Cessna210",None,05-10-2020 15:23,07-12-2020 15:43
ChicoState/HappyHouseplants,0,40,"As a developer, I would like to have mockups for what the UI should look like.",Done,"maklh899,iramosromero",Lowest Difficulty,04-10-2020 20:35,07-12-2020 15:43
ChicoState/HappyHouseplants,0,39,"As a developer, I would like the code to have an enforced style format (a linter)",Done,Neodusk,Lowest Difficulty,04-10-2020 19:48,07-12-2020 15:43
ChicoState/HappyHouseplants,0,38,"As a developer, I would like to have databases to store and retrieve data from.",Done,Neodusk,Lowest Difficulty,03-10-2020 09:59,07-12-2020 15:43
ChicoState/HappyHouseplants,0,15,Add react-native as a dependency,Done,None,Lowest Difficulty,23-09-2020 13:15,28-09-2020 15:04
ChicoState/HappyHouseplants,0,12,Add linting to project,Done,Neodusk,Lowest Difficulty,23-09-2020 11:49,23-09-2020 12:44
ChicoState/HappyHouseplants,0,11,Initialize npm (setup package.json),Done,Neodusk,Lowest Difficulty,23-09-2020 11:49,23-09-2020 12:44
ChicoState/HappyHouseplants,0,9,Create a calendar,Done,"myothra7777,maklh899",None,21-09-2020 16:10,07-12-2020 15:43
ChicoState/HappyHouseplants,0,8,scrape the internet for tips on plant owning,Done,"Cessna210,iramosromero",None,21-09-2020 16:04,09-12-2020 15:11
ChicoState/HappyHouseplants,0,7,setup docker container for MongoDB,Done,Neodusk,Lowest Difficulty,21-09-2020 16:02,07-12-2020 15:43
ChicoState/HappyHouseplants,0,6,setup MongoDB collection schemas,Done,Neodusk,Lowest Difficulty,21-09-2020 16:02,07-12-2020 15:43
ChicoState/HappyHouseplants,0,5,Create profile plant and landing page,Done,"Cessna210,maklh899",None,21-09-2020 15:59,07-12-2020 15:43
ChicoState/HappyHouseplants,0,4,"As a plant grower, I would like to have a calendar to keep track of when I plant seeds so I know when they will reach maturity and how I should take care of them at different stages of their life",Done,Neodusk,None,19-09-2020 11:07,07-12-2020 15:42
ChicoState/HappyHouseplants,0,3,"As a user, I would like all of my data to persist across my devices - database",Done,"myothra7777,Neodusk,Cessna210",None,19-09-2020 11:06,07-11-2020 11:47
ChicoState/HappyHouseplants,0,2,"As a beginner to plant owning, I would like to receive tips in order to avoid common mistakes.",Done,"Cessna210,iramosromero",Lowest Difficulty,19-09-2020 11:06,07-12-2020 15:43
ChicoState/HappyHouseplants,0,1,"As an app user, I would like to have an intuitive UI experience",Done,"maklh899,iramosromero",None,19-09-2020 11:06,07-12-2020 15:43
ChicoState/LifesLibrary,0,11,"As a user, I would appreciate a theme that helps me keep my focus on the app.",Done,None,None,05-10-2020 12:30,07-11-2020 11:02
ChicoState/LifesLibrary,0,8,"As a user in a hurry, I want an app that immediately loads a useful Gallery view of my Collection, so I can see what I have at a glance.",Done,None,None,28-09-2020 12:53,07-11-2020 11:03
ChicoState/LifesLibrary,0,1,"""As someone with a highly technical job, most of my 'spare' reading time is devoted to learning new work-related skills. I need a better way to keep track of the books that interest me, so I can quickly and easily access the list the rare times I'm free to enjoy a good book.""",Done,briswells,None,20-09-2020 15:25,07-10-2020 18:49
ChicoState/LifesLibrary,0,14,I want to add books that I don't have the barcode for. Could I search and add books manually? ,To do,briswells,None,07-10-2020 18:51,None
ChicoState/LifesLibrary,0,9,"As someone who wants to read tons of books, I would like to be able to see and sort books in a list that I'm interested in.",To do,Mattxm,None,05-10-2020 12:10,None
ChicoState/LifesLibrary,0,6,"""As an elderly person, I would like an app that reminds me of when to return books that I check out.""",In progress,Mattxm,None,20-09-2020 15:31,None
ChicoState/LifesLibrary,0,19,I would love to be able to keep track of what page I'm on for each book within the app.,In progress,briswells,None,11-12-2020 13:53,None
ChicoState/LifesLibrary,0,19,I would love to be able to keep track of what page I'm on for each book within the app.,To do,briswells,None,11-12-2020 13:53,None
ChicoState/LifesLibrary,0,6,"""As an elderly person, I would like an app that reminds me of when to return books that I check out.""",To do,Mattxm,None,20-09-2020 15:31,None
ChicoState/LifesLibrary,0,11,"As a user, I would appreciate a theme that helps me keep my focus on the app.",To do,None,None,05-10-2020 12:30,None
ChicoState/MoneyPool,0,23,"As a general user, I want to see the pricing of a certain suggestion. [1]",Done,kcrisci94,None,30-11-2020 18:32,04-12-2020 16:54
ChicoState/MoneyPool,0,22,"As a general user, I want a way to see the realtime estimation of my personal cost of a trip before and after I join a trip [2]",Done,"ChaseMay,kcrisci94",None,16-11-2020 12:45,04-12-2020 16:54
ChicoState/MoneyPool,0,21,"As a general user, I want a way to invite specific people on a trip and hide the trip from others who were not invited [2].",Done,kcrisci94,None,04-11-2020 09:01,04-12-2020 16:54
ChicoState/MoneyPool,0,20,"As a general user, I would like to be able to access a specific trip to be able to see the detailed elements of the trip. [1]",Done,jacobGildea33,None,12-10-2020 13:27,04-12-2020 16:54
ChicoState/MoneyPool,0,19,"As a user, I want to be able to navigate among different trips and view profiles. [1]",Done,ChaseMay,None,05-10-2020 12:23,04-11-2020 09:16
ChicoState/MoneyPool,0,18,As a user I want to be able to create a detailed trip proposal to start planning my trip. [1],Done,"kcrisci94,jacobGildea33",None,05-10-2020 12:22,05-10-2020 13:57
ChicoState/MoneyPool,0,17,"As a user, I would like to register an account with MoneyPool. [1]",Done,kcrisci94,None,28-09-2020 12:33,05-10-2020 13:57
ChicoState/MoneyPool,0,16,"As a user, I would like to sign in and register my own account. [1]",Done,kcrisci94,None,28-09-2020 12:31,05-10-2020 13:57
ChicoState/MoneyPool,0,15,As a user I would like to be able to make a profile to classify myself within this program.,Done,None,None,21-09-2020 12:50,04-11-2020 09:18
ChicoState/MoneyPool,0,14,"As a customer, I want a way to see trips that have been suggested by other people [2].",Done,None,None,21-09-2020 12:44,04-11-2020 09:19
ChicoState/MoneyPool,0,13,"As a general user, I want a way to find friends on the app in order to invite them to a trip. I also want to save these friends as contacts [2]",Done,kcrisci94,None,21-09-2020 12:24,04-11-2020 09:16
ChicoState/MoneyPool,0,11,"As a general user, I want a way to see upcoming public events posted by other people [2].",Done,"kcrisci94,jacobGildea33",None,21-09-2020 12:23,04-11-2020 09:16
ChicoState/MoneyPool,0,10,"As a general user, I want a way to see upcoming events that I’ve decided to participate in, in order to keep track of them. [1]",Done,kcrisci94,None,21-09-2020 12:23,04-12-2020 16:54
ChicoState/MoneyPool,0,9,"As a general user, I want a way to see who else is going on this trip. [1]",Done,kcrisci94,None,21-09-2020 12:23,04-12-2020 16:54
ChicoState/MoneyPool,0,6,"As a customer, I want a way to suggest things that might be needed or useful on the trip (so others may choose to bring them). [2]",Done,"ChaseMay,kcrisci94",None,21-09-2020 12:23,04-12-2020 16:54
ChicoState/MoneyPool,0,4,"As a general user, I want a way to vote on certain amenities, such as hotels to stay at, etc. [3]",Done,ChaseMay,None,21-09-2020 12:22,04-11-2020 09:16
ChicoState/MoneyPool,0,3,"As a general user, I want a way to categorize the sections of our trip such as food, hotels, travel in order to accurately plan the trip [2]",Done,jacobGildea33,None,21-09-2020 12:22,04-12-2020 16:54
ChicoState/MoneyPool,0,8,"As a customer, I want a way to pay others who are participating in the trip for the trip expenses [2]",In progress,"ChaseMay,kcrisci94",None,21-09-2020 12:23,None
ChicoState/MoneyPool,0,23,"As a general user, I want to see the pricing of a certain suggestion. [1]",In progress,kcrisci94,None,30-11-2020 18:32,None
ChicoState/MoneyPool,0,8,"As a customer, I want a way to pay others who are participating in the trip for the trip expenses [2]",To do,"ChaseMay,kcrisci94",None,21-09-2020 12:23,None
ChicoState/MoneyPool,0,8,"As a customer, I want a way to pay others who are participating in the trip for the trip expenses [2]",In progress,"ChaseMay,kcrisci94",None,21-09-2020 12:23,None
ChicoState/MoneyPool,0,22,"As a general user, I want a way to see the realtime estimation of my personal cost of a trip before and after I join a trip [2]",In progress,"ChaseMay,kcrisci94",None,16-11-2020 12:45,None
ChicoState/MoneyPool,0,22,"As a general user, I want a way to see the realtime estimation of my personal cost of a trip before and after I join a trip [2]",To do,"ChaseMay,kcrisci94",None,16-11-2020 12:45,None
ChicoState/PedalMaps,0,29,"As a rider, I would like to be able to see where I've gone on my ride",Done,JohnAnthony98,None,05-11-2020 15:08,07-12-2020 12:00
ChicoState/PedalMaps,0,17,"As a user, when I end a ride I want to save that trail information.",Done,cbfiggins,None,08-10-2020 15:04,15-11-2020 14:50
ChicoState/PedalMaps,0,15,"As a biker, I would like to be able to see my location on a map",Done,Vulfenstein,None,07-10-2020 19:40,17-10-2020 20:46
ChicoState/PedalMaps,0,13,"As a rider, I want to be able to track the time of my bike ride.",Done,Vulfenstein,None,05-10-2020 18:56,05-10-2020 18:58
ChicoState/PedalMaps,0,12,"As a rider, I want to be able to pause and resume my trail tracking in the middle of my ride",Done,cbfiggins,None,05-10-2020 12:32,25-10-2020 12:00
ChicoState/PedalMaps,0,11,"As a biker, I would like to be able to see my location on a map",Done,None,None,05-10-2020 11:49,07-10-2020 19:40
